employee_id,department,job_role,manager_id,manager_name,shift,hire_date,exit_date,employment_status,exit_reason,age,monthly_income_usd,overtime_flag,avg_monthly_overtime_hours,absenteeism_days_12m,job_satisfaction,work_life_balance,performance_rating,years_since_promotion,training_hours_12m,commute_distance_km,tenure_years,attrition
EMP0042,Supply Chain,Logistics Analyst,MGR-S02,Dang Quang Huy,Night,2021-09-15,,Active,,36,1491.0,No,7.4,5,4,1,3,1,11.8,15.6,4.29,No
EMP0043,Quality,Quality Inspector,MGR-Q02,Bui Thanh Lan,Day,2021-10-13,,Active,,24,1161.0,No,8.5,7,4,3,3,3,22.5,23.6,4.22,No
EMP0044,Engineering,Process Engineer,MGR-E01,Truong Minh Duc,Day,2020-02-04,,Active,,25,2216.0,Yes,46.3,4,3,2,3,1,37.5,23.1,5.91,No
EMP0045,Finance,Accountant,MGR-F01,Mai Thanh Son,Day,2018-08-08,2024-12-27,Exited,Work schedule,23,1514.0,Yes,27.2,6,4,3,3,1,33.6,16.0,6.39,Yes
EMP0046,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2024-07-22,2025-10-10,Exited,Better opportunity,44,2009.0,No,6.8,5,3,4,3,1,53.1,33.0,1.22,Yes
EMP0047,Maintenance,Maintenance Technician,MGR-M01,Do Tuan Kiet,Rotating,2024-03-28,,Active,,26,1265.0,No,4.0,12,4,4,4,1,23.3,24.1,1.76,No
EMP0048,Production,Line Leader,MGR-P02,Tran Quoc Bao,Day,2023-08-24,,Active,,53,1222.0,Yes,29.5,7,3,5,5,0,24.3,10.6,2.35,No
EMP0049,Production,Production Operator,MGR-P02,Tran Quoc Bao,Night,2023-05-08,2025-12-12,Exited,Career change,23,946.0,No,0.7,6,3,3,4,1,40.6,7.9,2.6,Yes
EMP0050,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2018-11-28,2025-12-01,Exited,Personal reasons,27,2037.0,Yes,28.7,8,3,3,3,3,31.2,24.6,7.01,Yes
EMP0051,Quality,Quality Inspector,MGR-Q02,Bui Thanh Lan,Day,2022-05-05,,Active,,24,1371.0,No,4.1,15,3,5,3,3,30.2,14.6,3.66,No
EMP0052,Supply Chain,Material Planner,MGR-S02,Dang Quang Huy,Day,2021-02-20,,Active,,43,1625.0,No,3.0,10,4,4,3,0,35.7,7.1,4.86,No
EMP0053,Supply Chain,Logistics Analyst,MGR-S02,Dang Quang Huy,Night,2018-10-10,,Active,,48,1289.0,No,3.9,6,5,5,4,5,27.7,17.4,7.23,No
EMP0054,Finance,Finance Specialist,MGR-F01,Mai Thanh Son,Day,2025-08-31,,Active,,37,1841.0,No,4.8,5,3,3,2,0,29.8,20.4,0.33,No
EMP0055,Finance,Cost Analyst,MGR-F01,Mai Thanh Son,Day,2019-07-14,,Active,,41,1953.0,Yes,23.9,3,4,3,4,4,24.3,16.3,6.47,No
EMP0056,Supply Chain,Material Planner,MGR-S02,Dang Quang Huy,Night,2019-04-19,,Active,,26,1383.0,Yes,22.8,14,3,4,3,5,26.3,19.7,6.7,No
EMP0057,Production,Line Leader,MGR-P02,Tran Quoc Bao,Day,2020-01-03,,Active,,24,1352.0,Yes,15.0,9,3,5,3,0,18.0,26.7,5.99,No
EMP0058,Maintenance,Facilities Technician,MGR-M02,Hoang Van Nam,Rotating,2018-05-23,,Active,,52,1517.0,No,2.0,8,5,3,2,0,28.3,28.5,7.61,No
EMP0059,Production,Production Operator,MGR-P04,Pham Hoang Duy,Rotating,2023-12-24,2024-04-07,Exited,Compensation,28,917.0,No,5.1,12,1,3,2,2,8.6,34.7,0.29,Yes
EMP0060,Production,Production Technician,MGR-P03,Le Thanh Cong,Day,2019-12-20,2025-01-02,Exited,Compensation,49,1082.0,No,4.6,6,3,2,4,0,11.9,23.6,5.04,Yes
EMP0061,Production,Production Technician,MGR-P04,Pham Hoang Duy,Day,2023-06-12,2024-03-11,Exited,Personal reasons,44,1176.0,No,4.6,8,5,3,3,2,24.0,8.0,0.75,Yes
EMP0062,Production,Line Leader,MGR-P03,Le Thanh Cong,Day,2018-04-20,,Active,,48,1147.0,Yes,19.6,5,5,4,5,6,29.4,19.4,7.7,No
EMP0063,Maintenance,Facilities Technician,MGR-M01,Do Tuan Kiet,Rotating,2018-08-07,,Active,,42,1352.0,No,2.8,15,3,4,5,3,49.3,7.9,7.4,No
EMP0064,Production,Production Operator,MGR-P03,Le Thanh Cong,Rotating,2022-03-06,,Active,,46,806.0,Yes,24.4,4,3,2,4,3,21.8,5.6,3.82,No
EMP0065,Production,Line Leader,MGR-P04,Pham Hoang Duy,Night,2020-10-07,,Active,,22,1378.0,No,6.3,11,3,3,1,4,50.9,7.6,5.23,No
EMP0066,Supply Chain,Warehouse Coordinator,MGR-S02,Dang Quang Huy,Day,2023-06-28,,Active,,24,1033.0,No,4.2,8,4,4,4,1,27.5,6.2,2.51,No
EMP0067,Production,Production Technician,MGR-P04,Pham Hoang Duy,Rotating,2024-09-04,2025-05-13,Exited,Relocation,43,996.0,Yes,38.0,13,4,5,4,1,27.1,11.0,0.69,Yes
EMP0068,Finance,Finance Specialist,MGR-F01,Mai Thanh Son,Day,2023-01-20,,Active,,37,1831.0,No,5.7,3,1,3,3,2,27.1,38.0,2.95,No
EMP0069,Production,Production Technician,MGR-P02,Tran Quoc Bao,Rotating,2019-07-02,,Active,,51,1048.0,Yes,42.3,10,4,3,1,3,29.5,36.2,6.5,No
EMP0070,Quality,Quality Technician,MGR-Q02,Bui Thanh Lan,Day,2025-02-19,,Active,,22,1163.0,No,3.7,12,2,1,3,0,19.4,28.2,0.86,No
EMP0071,Production,Production Operator,MGR-P04,Pham Hoang Duy,Rotating,2024-09-30,,Active,,29,872.0,No,2.0,9,4,3,3,0,38.5,18.5,1.25,No
EMP0072,Production,Production Operator,MGR-P04,Pham Hoang Duy,Rotating,2019-10-06,,Active,,30,939.0,No,4.1,8,2,3,4,4,48.8,43.0,6.24,No
EMP0073,Production,Production Technician,MGR-P02,Tran Quoc Bao,Night,2020-12-23,2025-06-09,Exited,Compensation,52,1051.0,Yes,33.5,14,3,2,5,2,22.6,21.7,4.46,Yes
EMP0074,Production,Production Technician,MGR-P04,Pham Hoang Duy,Day,2021-01-17,,Active,,28,908.0,Yes,14.0,13,4,2,3,4,47.4,24.8,4.95,No
EMP0075,Production,Production Technician,MGR-P02,Tran Quoc Bao,Night,2025-09-07,2025-11-19,Exited,Compensation,50,906.0,Yes,37.1,8,3,4,4,0,34.0,8.4,0.2,Yes
EMP0076,Production,Production Technician,MGR-P03,Le Thanh Cong,Night,2020-08-27,,Active,,48,964.0,No,6.4,11,4,3,2,5,9.4,3.1,5.34,No
EMP0077,Production,Production Operator,MGR-P02,Tran Quoc Bao,Rotating,2018-06-07,,Active,,35,997.0,No,2.4,8,4,3,3,0,52.0,20.0,7.57,No
EMP0078,Engineering,Process Engineer,MGR-E02,Ngo Bao Chau,Day,2024-04-24,,Active,,53,2202.0,No,5.1,1,3,2,2,0,46.9,3.3,1.69,No
EMP0079,Production,Line Leader,MGR-P01,Nguyen Minh Anh,Night,2021-02-04,2024-11-16,Exited,Performance,30,1150.0,Yes,20.0,6,2,4,4,3,23.3,2.4,3.78,Yes
EMP0080,Quality,Quality Technician,MGR-Q01,Vo Thu Ha,Night,2019-05-27,,Active,,50,1459.0,No,5.6,2,3,3,3,3,21.8,8.7,6.6,No
EMP0081,Maintenance,Maintenance Technician,MGR-M02,Hoang Van Nam,Night,2024-08-28,,Active,,24,1409.0,No,4.6,11,5,4,4,0,25.0,3.3,1.34,No
EMP0082,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2018-10-17,2024-11-02,Exited,Better opportunity,42,1878.0,Yes,36.1,12,4,4,3,2,49.5,19.7,6.05,Yes
EMP0083,Maintenance,Equipment Engineer,MGR-M01,Do Tuan Kiet,Day,2023-10-01,,Active,,43,1922.0,Yes,29.8,4,1,4,4,2,48.8,34.1,2.25,No
EMP0084,Production,Line Leader,MGR-P01,Nguyen Minh Anh,Day,2024-10-05,,Active,,26,1084.0,Yes,43.1,7,2,3,3,1,39.6,32.3,1.24,No
EMP0085,Engineering,Industrial Engineer,MGR-E03,Huynh Gia Han,Day,2024-08-06,,Active,,31,2211.0,No,5.3,1,4,2,3,0,19.4,10.6,1.4,No
EMP0086,Supply Chain,Logistics Analyst,MGR-S01,Phan Ngoc Mai,Day,2018-07-11,,Active,,26,1606.0,No,5.2,2,3,4,2,1,33.8,12.7,7.47,No
EMP0087,Quality,Quality Engineer,MGR-Q02,Bui Thanh Lan,Day,2019-08-30,,Active,,25,1423.0,Yes,29.7,6,4,3,1,1,33.6,32.6,6.34,No
EMP0088,Production,Production Technician,MGR-P03,Le Thanh Cong,Day,2019-05-03,,Active,,20,1064.0,No,4.2,13,5,4,3,1,13.8,14.7,6.66,No
EMP0089,Engineering,Industrial Engineer,MGR-E02,Ngo Bao Chau,Day,2022-09-05,,Active,,38,1935.0,No,3.2,12,2,4,4,0,34.7,8.9,3.32,No
EMP0090,Production,Production Operator,MGR-P02,Tran Quoc Bao,Rotating,2019-11-19,,Active,,34,997.0,No,7.0,3,4,4,5,0,32.1,17.8,6.12,No
EMP0091,Quality,Quality Engineer,MGR-Q02,Bui Thanh Lan,Day,2024-12-01,2025-05-01,Exited,Better opportunity,35,1423.0,Yes,30.9,4,2,4,3,1,33.3,31.2,0.41,Yes
EMP0092,Engineering,Process Engineer,MGR-E01,Truong Minh Duc,Day,2022-10-18,,Active,,41,2042.0,No,3.5,7,4,2,3,3,23.4,20.3,3.2,No
EMP0093,Production,Production Technician,MGR-P03,Le Thanh Cong,Night,2024-02-03,,Active,,22,1021.0,Yes,21.4,12,3,4,3,0,37.4,23.9,1.91,No
EMP0094,Production,Line Leader,MGR-P02,Tran Quoc Bao,Day,2021-04-19,,Active,,39,1371.0,No,2.5,12,3,4,4,4,30.9,19.5,4.7,No
EMP0095,Production,Production Technician,MGR-P02,Tran Quoc Bao,Rotating,2022-07-04,,Active,,38,1136.0,No,1.6,7,4,3,4,0,28.3,11.0,3.49,No
EMP0096,Production,Line Leader,MGR-P02,Tran Quoc Bao,Day,2018-09-26,,Active,,29,1162.0,No,5.1,10,2,3,3,2,46.5,39.2,7.26,No
EMP0097,Engineering,Automation Engineer,MGR-E01,Truong Minh Duc,Day,2023-12-20,,Active,,23,2079.0,No,4.3,4,4,3,3,1,33.1,27.2,2.03,No
EMP0098,Production,Line Leader,MGR-P04,Pham Hoang Duy,Day,2021-10-10,,Active,,22,1290.0,Yes,21.1,10,3,4,3,1,42.9,15.2,4.22,No
EMP0099,Supply Chain,Warehouse Coordinator,MGR-S01,Phan Ngoc Mai,Day,2025-10-13,,Active,,27,1112.0,No,4.3,4,4,3,3,0,47.8,15.5,0.22,No
EMP0100,Production,Production Operator,MGR-P03,Le Thanh Cong,Day,2023-09-05,,Active,,53,994.0,No,7.0,14,4,5,2,0,17.8,10.5,2.32,No
EMP0101,Quality,Quality Inspector,MGR-Q01,Vo Thu Ha,Day,2020-04-22,,Active,,41,1330.0,Yes,23.2,9,1,5,4,2,47.2,32.7,5.69,No
EMP0102,HR & Administration,HR Specialist,MGR-H01,Luong Phuong Thao,Day,2021-03-27,,Active,,43,1161.0,Yes,19.4,4,3,3,4,3,46.7,21.0,4.76,No
EMP0103,Supply Chain,Material Planner,MGR-S01,Phan Ngoc Mai,Night,2022-12-13,,Active,,27,1658.0,Yes,35.2,7,2,5,3,1,46.9,23.5,3.05,No
EMP0104,Supply Chain,Material Planner,MGR-S01,Phan Ngoc Mai,Night,2018-04-28,,Active,,39,1542.0,Yes,25.9,12,4,3,3,1,56.9,28.4,7.68,No
EMP0105,Production,Line Leader,MGR-P02,Tran Quoc Bao,Day,2019-04-25,,Active,,35,1239.0,No,3.2,11,4,5,3,4,28.6,16.1,6.69,No
EMP0106,Engineering,Industrial Engineer,MGR-E02,Ngo Bao Chau,Day,2021-09-15,,Active,,23,1715.0,No,3.5,5,4,4,3,3,30.1,19.5,4.29,No
EMP0107,Production,Production Technician,MGR-P04,Pham Hoang Duy,Rotating,2020-02-24,,Active,,36,1170.0,No,2.4,3,4,1,2,2,20.3,11.8,5.85,No
EMP0108,Production,Production Technician,MGR-P01,Nguyen Minh Anh,Day,2025-06-02,2025-10-20,Exited,Better opportunity,50,1128.0,Yes,17.4,6,3,3,3,0,18.6,39.5,0.38,Yes
EMP0109,Production,Production Technician,MGR-P01,Nguyen Minh Anh,Night,2018-02-20,2025-12-16,Exited,Performance,50,1101.0,Yes,35.5,16,4,4,4,5,18.3,20.1,7.82,Yes
EMP0110,Production,Production Operator,MGR-P03,Le Thanh Cong,Day,2023-05-26,,Active,,23,991.0,Yes,32.7,10,3,3,4,0,20.7,20.1,2.6,No
EMP0111,Production,Production Operator,MGR-P01,Nguyen Minh Anh,Day,2023-01-22,,Active,,23,806.0,No,4.6,16,4,3,4,0,46.0,8.0,2.94,No
EMP0112,Production,Production Technician,MGR-P02,Tran Quoc Bao,Day,2022-06-28,2025-11-19,Exited,Performance,47,1083.0,Yes,28.1,6,4,2,2,0,38.0,25.4,3.39,Yes
EMP0113,Maintenance,Facilities Technician,MGR-M01,Do Tuan Kiet,Rotating,2025-03-19,,Active,,51,1228.0,No,8.1,5,1,4,3,0,34.1,34.3,0.79,No
EMP0114,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2021-12-24,,Active,,47,2093.0,No,6.7,4,5,5,3,4,51.0,16.4,4.02,No
EMP0115,Supply Chain,Material Planner,MGR-S01,Phan Ngoc Mai,Rotating,2021-04-27,2025-12-08,Exited,Performance,53,1510.0,No,2.7,1,5,4,1,4,28.7,17.8,4.62,Yes
EMP0116,Production,Production Technician,MGR-P02,Tran Quoc Bao,Rotating,2019-05-06,,Active,,31,1168.0,Yes,26.0,8,2,4,4,2,38.5,8.8,6.66,No
EMP0117,Production,Line Leader,MGR-P04,Pham Hoang Duy,Day,2019-12-24,,Active,,43,1326.0,No,7.1,5,3,4,4,2,54.3,26.1,6.02,No
EMP0118,Quality,Quality Technician,MGR-Q01,Vo Thu Ha,Night,2022-04-29,,Active,,28,1299.0,No,7.5,11,2,3,2,1,40.3,37.5,3.67,No
EMP0119,Production,Line Leader,MGR-P03,Le Thanh Cong,Day,2021-01-01,,Active,,29,1340.0,Yes,23.5,4,2,2,3,4,32.8,27.6,5.0,No
EMP0120,Production,Production Technician,MGR-P04,Pham Hoang Duy,Day,2021-11-19,,Active,,26,1013.0,Yes,35.3,7,4,4,3,1,44.0,4.1,4.11,No
EMP0121,Supply Chain,Logistics Analyst,MGR-S02,Dang Quang Huy,Day,2019-05-29,,Active,,47,1596.0,No,3.1,6,3,4,3,6,39.2,25.6,6.59,No
EMP0122,Quality,Quality Inspector,MGR-Q01,Vo Thu Ha,Day,2018-09-05,,Active,,37,1315.0,Yes,36.2,3,4,5,4,1,49.7,12.8,7.32,No
EMP0123,HR & Administration,HR Specialist,MGR-H01,Luong Phuong Thao,Day,2024-06-19,2025-08-06,Exited,Better opportunity,33,1080.0,Yes,31.0,8,2,3,3,1,29.7,27.8,1.13,Yes
EMP0124,Production,Production Operator,MGR-P03,Le Thanh Cong,Rotating,2025-11-06,,Active,,36,929.0,No,2.8,5,4,5,4,0,13.9,31.9,0.15,No
EMP0125,Engineering,Process Engineer,MGR-E01,Truong Minh Duc,Day,2022-03-08,,Active,,25,2247.0,No,0.7,4,4,5,4,3,36.0,20.7,3.82,No
EMP0126,HR & Administration,HR Specialist,MGR-H01,Luong Phuong Thao,Day,2020-03-13,,Active,,29,1212.0,Yes,20.6,5,4,3,4,3,15.6,8.6,5.8,No
EMP0127,Quality,Quality Engineer,MGR-Q01,Vo Thu Ha,Day,2024-06-17,,Active,,28,1843.0,Yes,44.1,10,4,4,4,0,49.8,30.1,1.54,No
EMP0128,Production,Production Operator,MGR-P04,Pham Hoang Duy,Day,2018-12-15,,Active,,44,875.0,No,2.5,6,5,4,2,2,51.3,9.9,7.04,No
EMP0129,Production,Production Operator,MGR-P03,Le Thanh Cong,Day,2020-05-25,,Active,,46,773.0,No,2.4,2,3,4,4,2,47.4,13.2,5.6,No
EMP0130,Finance,Finance Specialist,MGR-F01,Mai Thanh Son,Day,2023-08-19,,Active,,41,1809.0,No,8.1,6,1,4,3,0,33.5,35.0,2.37,No
EMP0131,Quality,Quality Technician,MGR-Q01,Vo Thu Ha,Day,2019-05-16,,Active,,47,1317.0,No,5.2,3,3,1,2,0,44.9,22.9,6.63,No
EMP0132,Production,Production Technician,MGR-P02,Tran Quoc Bao,Day,2019-03-09,,Active,,37,898.0,No,5.2,5,4,2,3,1,40.8,23.3,6.81,No
EMP0133,Engineering,Industrial Engineer,MGR-E01,Truong Minh Duc,Day,2020-07-23,,Active,,34,2075.0,No,5.6,10,3,5,4,2,33.1,24.8,5.44,No
EMP0134,Quality,Quality Technician,MGR-Q01,Vo Thu Ha,Day,2022-05-14,,Active,,44,1135.0,Yes,23.3,10,4,3,3,1,49.7,5.6,3.63,No
EMP0135,Production,Production Technician,MGR-P03,Le Thanh Cong,Night,2023-02-06,,Active,,21,1034.0,Yes,23.3,3,3,4,3,0,30.8,22.3,2.9,No
EMP0136,Production,Production Technician,MGR-P04,Pham Hoang Duy,Day,2023-05-10,2024-05-02,Exited,Relocation,44,1123.0,No,8.4,2,3,4,5,1,18.1,14.5,0.98,Yes
EMP0137,Quality,Quality Inspector,MGR-Q01,Vo Thu Ha,Night,2021-03-30,,Active,,32,1098.0,No,2.2,7,3,5,3,1,8.4,16.7,4.76,No
EMP0138,Engineering,Industrial Engineer,MGR-E02,Ngo Bao Chau,Day,2022-10-25,,Active,,48,1830.0,Yes,27.4,8,3,4,4,2,56.2,16.0,3.18,No
EMP0139,Production,Line Leader,MGR-P04,Pham Hoang Duy,Day,2018-05-14,,Active,,38,1335.0,No,2.6,10,5,2,3,5,51.4,10.5,7.63,No
EMP0140,Production,Production Operator,MGR-P03,Le Thanh Cong,Rotating,2021-03-26,,Active,,47,965.0,No,2.8,7,2,4,3,2,37.1,19.4,4.77,No
EMP0141,Production,Production Technician,MGR-P03,Le Thanh Cong,Night,2024-03-05,,Active,,30,916.0,No,4.8,9,4,3,3,1,15.3,19.8,1.82,No
EMP0142,Finance,Cost Analyst,MGR-F01,Mai Thanh Son,Day,2021-02-22,,Active,,30,1964.0,No,2.4,10,3,3,5,2,42.5,8.4,4.85,No
EMP0143,Quality,Quality Inspector,MGR-Q01,Vo Thu Ha,Day,2021-11-16,,Active,,53,1387.0,No,6.1,13,1,1,3,2,18.9,26.2,4.12,No
EMP0144,Production,Production Technician,MGR-P03,Le Thanh Cong,Day,2019-12-31,,Active,,26,914.0,Yes,15.3,3,5,3,2,0,47.4,38.4,6.0,No
EMP0145,Production,Production Operator,MGR-P04,Pham Hoang Duy,Day,2023-09-26,,Active,,35,992.0,No,4.1,7,4,1,3,1,20.5,32.5,2.26,No
EMP0146,Production,Production Technician,MGR-P02,Tran Quoc Bao,Day,2018-09-04,,Active,,40,1169.0,Yes,25.0,7,3,4,2,2,36.8,13.0,7.32,No
EMP0147,Production,Production Technician,MGR-P01,Nguyen Minh Anh,Day,2018-01-22,,Active,,44,998.0,Yes,31.2,8,4,4,3,1,23.1,6.9,7.94,No
EMP0148,Production,Line Leader,MGR-P03,Le Thanh Cong,Day,2023-11-24,,Active,,45,1274.0,Yes,13.1,1,4,3,5,2,40.6,22.4,2.1,No
EMP0149,Supply Chain,Warehouse Coordinator,MGR-S01,Phan Ngoc Mai,Night,2025-01-23,2025-12-12,Exited,Relocation,25,1200.0,No,6.8,10,4,3,4,0,35.4,9.6,0.88,Yes
EMP0150,Production,Production Operator,MGR-P04,Pham Hoang Duy,Rotating,2024-03-25,,Active,,39,873.0,Yes,31.6,3,5,2,3,0,42.6,19.6,1.77,No
EMP0151,Production,Line Leader,MGR-P01,Nguyen Minh Anh,Night,2024-11-30,,Active,,39,1209.0,No,4.1,14,3,3,4,0,9.5,5.8,1.08,No
